product_id,product_name,product_regime_tag,jurisdiction_code,jurisdiction_name,region,regulation_name,regulation_ref,enforcement_body,key_requirements,status,criticality,legal_api_match,legal_api_id,legal_api_match_method,gap_action,notes
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,EU Machinery Regulation,Regulation (EU) 2023/1230,European Commission DG GROW,Replaces Directive 2006/42/EC; CE marking; EHSRs Annex III; risk assessment; technical file; DoC; harmonized standards EN 60335-2-2,TO_REVIEW,CRITICAL,,,,,Applicable from 14 January 2027
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,Low Voltage Directive (LVD),Directive 2014/35/EU,EC + Member State MSAs,CE mark equipment 50-1000V AC / 75-1500V DC; EN 60335-1 + EN 60335-2-2; DoC; technical doc,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,EMC Directive,Directive 2014/30/EU,EC + MSAs,EN 55014-1/-2; EN 61000-3-2/-3; CE; DoC; TCF,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,Radio Equipment Directive (RED),Directive 2014/53/EU,EC + MSAs / NRAs,Wi-Fi 2.4/5 GHz + BT; EN 300 328 / EN 301 893; RED DA 2022/30 cybersecurity (Art 3.3 d/e/f) from 1 Aug 2025,TO_REVIEW,CRITICAL,,,,,RED DA cybersecurity applicable 1 August 2025
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,Cyber Resilience Act (CRA),Regulation (EU) 2024/2847,ENISA + Member State CSIRTs,CE marking with cyber reqs; vulnerability handling; SBOM; 24h notification ENISA; 5-year support; secure by default,TO_REVIEW,CRITICAL,,,,,In force 10 Dec 2024; obligations apply 11 Dec 2027
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,AI Act,Regulation (EU) 2024/1689,AI Office + MS authorities,Mapping required if AI feature; transparency obligations if interaction with user; GPAI rules if foundation model embedded,TO_REVIEW,HIGH,,,,,Applicable from 2 August 2026 in stages
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,ESPR Ecodesign for Sustainable Products,Regulation (EU) 2024/1781,EC DG GROW + ENVI,DPP Digital Product Passport; energy/durability/reparability; substances of concern,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,Ecodesign Implementing Reg Vacuum Cleaners,Regulation (EU) 666/2013,EC,"Specific ecodesign requirements for vacuum cleaners; annual energy consumption, dust pick-up, motor lifetime",TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,Energy Labelling Vacuum Cleaners,Regulation (EU) 665/2013,EC + MSAs,EU energy label vacuum cleaners (A-G); EPREL database registration,TO_REVIEW,HIGH,,,,,Note: ECJ judgment 2018 annulled label methodology; new methodology under development
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,GDPR,Regulation (EU) 2016/679,EDPB + DPAs,Home camera/mic/mapping = personal data; DPIA; lawful basis; privacy by design; ROPA; DPO,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,ePrivacy Directive,Directive 2002/58/EC,National DPAs + NRAs,Consent for cookies / tracking on companion apps,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,WEEE Directive,Directive 2012/19/EU,EC + national WEEE registers,Producer registration; EPR scheme; crossed-out wheelie bin; financing collection,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,Batteries Regulation,Regulation (EU) 2023/1542,EC + MSAs,Carbon footprint; recycled content; removability/replaceability Art 11; battery passport,TO_REVIEW,HIGH,,,,,Applies from 18 Feb 2024 with phased deadlines
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,RoHS Directive,Directive 2011/65/EU,EC + MSAs,"Restriction 10 substances (Pb, Hg, Cd, Cr VI, PBB, PBDE, 4 phthalates)",TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,REACH,Regulation (EC) 1907/2006,ECHA + MS CAs,Authorisation Annex XIV; Restriction Annex XVII; SVHC > 0.1% w/w SCIP notification (Art 33),TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,POPs Regulation,Regulation (EU) 2019/1021,ECHA,PFOA/PFOS restrictions in articles,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,Data Act,Regulation (EU) 2023/2854,EC + national authorities,Right of users to access IoT data; data sharing third parties; FRAND,TO_REVIEW,HIGH,,,,,Applies from 12 September 2025
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,GPSR — General Product Safety Regulation,Regulation (EU) 2023/988,EC + MSAs,General safety obligation; traceability; EU responsible person Art 16; Safety Gate; recall procedures,TO_REVIEW,CRITICAL,,,,,Applies from 13 December 2024
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,NIS2 Directive,Directive (EU) 2022/2555,ENISA + national CSIRTs,If manufacturer is essential/important entity: cybersecurity risk management + incident reporting,TO_REVIEW,HIGH,,,,,Transposition deadline 17 October 2024
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,DSA Digital Services Act,Regulation (EU) 2022/2065,EC + national DSCs,Companion app marketplace listings — DSA may apply,TO_REVIEW,MEDIUM,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,PFAS proposed restriction,REACH dossier 2023,ECHA + RAC + SEAC,Universal PFAS restriction proposed by 5 MS in 2023; impact on motor lubricants,TO_REVIEW,HIGH,,,,,Restriction proposal under review by RAC/SEAC
17,Robot aspirateur connecté,Machinery + IoT + AI Act,EU,European Union,Europe,EU Eco-label Reg,Regulation (EC) 66/2010,EC + Ecolabel CBs,Voluntary EU Eco-label for vacuum cleaners; criteria Decision 2017/1217,TO_REVIEW,MEDIUM,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,EU Machinery Regulation (applicable nationally),Regulation (EU) 2023/1230,France MSA,Directly applicable; replaces Directive 2006/42/EC; CE marking; harmonized standards EN 60335-2-2,TO_REVIEW,CRITICAL,,,,,Applies from 14 January 2027 in France
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,LVD national transposition,Directive 2014/35/EU + national transposition,France authority,CE marking + safety standards EN 60335-1; national language user manual,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,EMC national transposition,Directive 2014/30/EU + national transposition,France authority + NRA,CE + EMC compliance EN 55014,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,RED national transposition,Directive 2014/53/EU + national transposition,France NRA,Wi-Fi/BT radio module conformity; type examination if Annex IV,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,CRA enforcement,Regulation (EU) 2024/2847,France CSIRT + MSA,National CSIRT receives 24h vulnerability notifications,TO_REVIEW,CRITICAL,,,,,Applies from 11 December 2027
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,GDPR national DPA,Regulation (EU) 2016/679,France DPA,National DPA supervises home camera/mapping data,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,WEEE national producer register,Directive 2012/19/EU + national WEEE law,France WEEE register,Producer registration; EPR fees; reporting obligations,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,Batteries Reg national CA,Regulation (EU) 2023/1542,France CA,Carbon footprint; replaceability; battery passport,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,RoHS national MSA,Directive 2011/65/EU + national,France MSA,Restriction of hazardous substances; CE; technical file,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,REACH national CA,Regulation (EC) 1907/2006,France CA,SVHC notification SCIP; SDS,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,GPSR national MSA,Regulation (EU) 2023/988,France MSA,General Product Safety; Safety Gate; recalls,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,AI Act national authority,Regulation (EU) 2024/1689,France AI authority + DPA,AI Act notification + market surveillance; mostly minimal risk for vacuum,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,ESPR national authority,Regulation (EU) 2024/1781,France ESPR authority,Digital Product Passport; ecodesign requirements for vacuum cleaners,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,FR,France,Europe,Data Act national CA,Regulation (EU) 2023/2854,France CA,User right to access IoT data; data sharing FRAND,TO_REVIEW,HIGH,,,,,Applies from 12 September 2025
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,EU Machinery Regulation (applicable nationally),Regulation (EU) 2023/1230,Germany MSA,Directly applicable; replaces Directive 2006/42/EC; CE marking; harmonized standards EN 60335-2-2,TO_REVIEW,CRITICAL,,,,,Applies from 14 January 2027 in Germany
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,LVD national transposition,Directive 2014/35/EU + national transposition,Germany authority,CE marking + safety standards EN 60335-1; national language user manual,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,EMC national transposition,Directive 2014/30/EU + national transposition,Germany authority + NRA,CE + EMC compliance EN 55014,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,RED national transposition,Directive 2014/53/EU + national transposition,Germany NRA,Wi-Fi/BT radio module conformity; type examination if Annex IV,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,CRA enforcement,Regulation (EU) 2024/2847,Germany CSIRT + MSA,National CSIRT receives 24h vulnerability notifications,TO_REVIEW,CRITICAL,,,,,Applies from 11 December 2027
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,GDPR national DPA,Regulation (EU) 2016/679,Germany DPA,National DPA supervises home camera/mapping data,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,WEEE national producer register,Directive 2012/19/EU + national WEEE law,Germany WEEE register,Producer registration; EPR fees; reporting obligations,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,Batteries Reg national CA,Regulation (EU) 2023/1542,Germany CA,Carbon footprint; replaceability; battery passport,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,RoHS national MSA,Directive 2011/65/EU + national,Germany MSA,Restriction of hazardous substances; CE; technical file,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,REACH national CA,Regulation (EC) 1907/2006,Germany CA,SVHC notification SCIP; SDS,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,GPSR national MSA,Regulation (EU) 2023/988,Germany MSA,General Product Safety; Safety Gate; recalls,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,AI Act national authority,Regulation (EU) 2024/1689,Germany AI authority + DPA,AI Act notification + market surveillance; mostly minimal risk for vacuum,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,ESPR national authority,Regulation (EU) 2024/1781,Germany ESPR authority,Digital Product Passport; ecodesign requirements for vacuum cleaners,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,DE,Germany,Europe,Data Act national CA,Regulation (EU) 2023/2854,Germany CA,User right to access IoT data; data sharing FRAND,TO_REVIEW,HIGH,,,,,Applies from 12 September 2025
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,EU Machinery Regulation (applicable nationally),Regulation (EU) 2023/1230,Italy MSA,Directly applicable; replaces Directive 2006/42/EC; CE marking; harmonized standards EN 60335-2-2,TO_REVIEW,CRITICAL,,,,,Applies from 14 January 2027 in Italy
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,LVD national transposition,Directive 2014/35/EU + national transposition,Italy authority,CE marking + safety standards EN 60335-1; national language user manual,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,EMC national transposition,Directive 2014/30/EU + national transposition,Italy authority + NRA,CE + EMC compliance EN 55014,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,RED national transposition,Directive 2014/53/EU + national transposition,Italy NRA,Wi-Fi/BT radio module conformity; type examination if Annex IV,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,CRA enforcement,Regulation (EU) 2024/2847,Italy CSIRT + MSA,National CSIRT receives 24h vulnerability notifications,TO_REVIEW,CRITICAL,,,,,Applies from 11 December 2027
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,GDPR national DPA,Regulation (EU) 2016/679,Italy DPA,National DPA supervises home camera/mapping data,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,WEEE national producer register,Directive 2012/19/EU + national WEEE law,Italy WEEE register,Producer registration; EPR fees; reporting obligations,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,Batteries Reg national CA,Regulation (EU) 2023/1542,Italy CA,Carbon footprint; replaceability; battery passport,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,RoHS national MSA,Directive 2011/65/EU + national,Italy MSA,Restriction of hazardous substances; CE; technical file,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,REACH national CA,Regulation (EC) 1907/2006,Italy CA,SVHC notification SCIP; SDS,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,GPSR national MSA,Regulation (EU) 2023/988,Italy MSA,General Product Safety; Safety Gate; recalls,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,AI Act national authority,Regulation (EU) 2024/1689,Italy AI authority + DPA,AI Act notification + market surveillance; mostly minimal risk for vacuum,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,ESPR national authority,Regulation (EU) 2024/1781,Italy ESPR authority,Digital Product Passport; ecodesign requirements for vacuum cleaners,TO_REVIEW,HIGH,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,IT,Italy,Europe,Data Act national CA,Regulation (EU) 2023/2854,Italy CA,User right to access IoT data; data sharing FRAND,TO_REVIEW,HIGH,,,,,Applies from 12 September 2025
17,Robot aspirateur connecté,Machinery + IoT + AI Act,ES,Spain,Europe,EU Machinery Regulation (applicable nationally),Regulation (EU) 2023/1230,Spain MSA,Directly applicable; replaces Directive 2006/42/EC; CE marking; harmonized standards EN 60335-2-2,TO_REVIEW,CRITICAL,,,,,Applies from 14 January 2027 in Spain
17,Robot aspirateur connecté,Machinery + IoT + AI Act,ES,Spain,Europe,LVD national transposition,Directive 2014/35/EU + national transposition,Spain authority,CE marking + safety standards EN 60335-1; national language user manual,TO_REVIEW,CRITICAL,,,,,
17,Robot aspirateur connecté,Machinery + IoT + AI Act,ES,Spain,Europe,EMC national transposition,Directive 2014/30/EU + national transposition,Spain authority + NRA,CE + EMC compliance EN 55014,TO_REVIEW,CRITICAL,,,,,
