product_id,product_name,product_regime_tag,jurisdiction_code,jurisdiction_name,region,regulation_name,regulation_ref,enforcement_body,key_requirements,status,criticality,legal_api_match,legal_api_id,legal_api_match_method,gap_action,notes
19,Peinture déco intérieure,VOC + REACH SVHC,EU,European Union,Europe,Directive on VOC in decorative paints and vehicle refinishing products,Directive 2004/42/EC,European Commission / Member State authorities,Limite COV par catégorie produit (phase II : peintures murales intérieures max 30 g/L solv. / 75 g/L eau); étiquetage teneur max COV,TO_REVIEW,CRITICAL,,,,,"Régulation fondatrice EU pour les peintures déco; limites phase II en vigueur depuis 2010; révision prévue dans cadre Chemicals Strategy"
19,Peinture déco intérieure,VOC + REACH SVHC,EU,European Union,Europe,REACH - Registration Evaluation Authorisation Restriction Chemicals,Regulation (EC) No 1907/2006 + Annex XVII SVHC,ECHA / Member State CAs,Restriction substances dangereuses (Annexe XVII); SVHC Candidate List notification; obligation DACS; SDS obligatoire,TO_REVIEW,CRITICAL,,,,,"Plomb, chrome VI, isothiazolinones et phtalates soumis à restrictions; ECHA met à jour Candidate List bi-annuellement"
19,Peinture déco intérieure,VOC + REACH SVHC,EU,European Union,Europe,CLP - Classification Labelling Packaging,Regulation (EC) No 1272/2008,ECHA / Member State CAs,Classification et étiquetage harmonisés; pictogrammes SGH; FDS section 3; notification ECHA via C&L Inventory,TO_REVIEW,CRITICAL,,,,,"Applicable aux mélanges peintures; solvants et biocides conservateurs impactent la classification"
19,Peinture déco intérieure,VOC + REACH SVHC,EU,European Union,Europe,EU Ecolabel for paints and varnishes,Regulation (EC) No 66/2010 + Decision 2014/312/EU,European Commission / ECOLABEL competent bodies,Critères COV stricts; absence substances CMR cat 1&2; teneur matières recyclées; performance minimale tests ISO; redevance annuelle,TO_REVIEW,HIGH,,,,,"Label volontaire mais exigé par marchés publics verts; critères révisés régulièrement; prochaine révision annoncée 2025"
19,Peinture déco intérieure,VOC + REACH SVHC,EU,European Union,Europe,Biocidal Products Regulation,Regulation (EU) No 528/2012,ECHA / Member State CAs,Autorisation substance active biocide (isothiazolinone MIT/BIT) dans conservateurs peintures; PT6 (conservateurs en pot) et PT7 (conservateurs film),TO_REVIEW,HIGH,,,,,"MIT (methylisothiazolinone) quasi interdit en peintures intérieures UE depuis 2017; BIT soumis à évaluation en cours"
19,Peinture déco intérieure,VOC + REACH SVHC,FR,France,Europe,Décret relatif à l'étiquetage des produits de construction et de revêtement de sol sur les émissions de polluants volatils,Décret n° 2011-321 du 23 mars 2011 + Arrêté du 19 avril 2011,DGCCRF / ANSES,Classes d'émission A+/A/B/C pour 10 composés COV intérieurs (formaldéhyde TVOC acétaldéhyde…); test EN 16516 ou ISO 16000-6/9/11; étiquette obligatoire,TO_REVIEW,CRITICAL,,,,,"Obligatoire pour peintures vendues en France depuis 2012; parmi les réglementations indoor air les plus strictes au monde; A+ requis pour marchés publics"
19,Peinture déco intérieure,VOC + REACH SVHC,FR,France,Europe,Règlement Général à la Construction (accessoires COV),Code de la Construction et de l'Habitation + Loi Grenelle II,Ministère Logement / DGALN,Exigences qualité air intérieur dans bâtiments neufs; compatibilité avec décret 2011-321,TO_REVIEW,MEDIUM,,,,,"Exigence complémentaire au décret 2011-321 dans cadre rénovation énergétique et qualité air intérieur bâtiment"
19,Peinture déco intérieure,VOC + REACH SVHC,DE,Germany,Europe,AgBB Scheme - Committee for Health-related Evaluation of Building Products,AgBB Bewertungsschema (2021),Umweltbundesamt (UBA) / DIBt,Tests émissions COV selon ISO 16000 après 3 et 28 jours; limites TVOC et CMR; requis pour déclarations environnementales produits,TO_REVIEW,HIGH,,,,,"Référence allemande pour indoor air; requis pour label GEV-EMICODE et accès marchés construction neuve DE"
19,Peinture déco intérieure,VOC + REACH SVHC,DE,Germany,Europe,Blue Angel Ecolabel for paints,RAL-UZ 102,RAL / Umweltbundesamt,Faibles émissions COV; sans plastifiants sans biocides nocifs; test selon ISO 16000; critères R&D,TO_REVIEW,HIGH,,,,,"Label volontaire très reconnu sur le marché allemand; exigé pour marchés publics fédéraux; révision régulière des seuils"
19,Peinture déco intérieure,VOC + REACH SVHC,IT,Italy,Europe,Decreto Presidente della Repubblica - produits de construction émissions,DPR 161/2013,Ministero della Salute / Ministero Ambiente,Transposition Directive 2004/42/EC; réglementation nationale émissions COV produits de construction; obligations étiquetage,TO_REVIEW,HIGH,,,,,"Italie a adopté des exigences spécifiques indoor air en complément de la directive EU"
